title;link;id;stars;score;date
Mainports (NL);https://www.youtube.com/watch?v=N5nQp_uLNl4;N5nQp_uLNl4;;4;06-01-2021
Via Magica (NL);https://www.youtube.com/watch?v=XesQX0asSDU;XesQX0asSDU;;7;06-01-2021
Horizon Zero Dawn: The Board Game (NL);https://www.youtube.com/watch?v=FFG1BfvgQTU;FFG1BfvgQTU;;4;06-01-2021
Paranormale Detectives (NL);https://www.youtube.com/watch?v=CGYtEsAuaVA;CGYtEsAuaVA;;7;06-01-2021
Royals & Riots (NL);https://www.youtube.com/watch?v=oig7285EDxE;oig7285EDxE;;6;06-01-2021
My Little Pony Ogen & Dicht (NL);https://www.youtube.com/watch?v=KQDhnCLGSIY;KQDhnCLGSIY;;;04-01-2021
Through the Ages: New Leaders and Wonders (NL);https://www.youtube.com/watch?v=8YhakXU9l8o;8YhakXU9l8o;;8;04-01-2021
"Through the Ages ""Old vs New"" (NL)";https://www.youtube.com/watch?v=-On2oOxLUbE;-On2oOxLUbE;;;04-01-2021
Wingspan: Uitbreiding Oceanië (NL);https://www.youtube.com/watch?v=KxRBgGKbyS0;KxRBgGKbyS0;;8;04-01-2021
Ethnos (NL);https://www.youtube.com/watch?v=kyVY_ugJkz8;kyVY_ugJkz8;;7;04-01-2021
NoxBox Mystery Delivered (NL);https://www.youtube.com/watch?v=Op6POmBMBZ0;Op6POmBMBZ0;;7;31-12-2020
The King's Dilemma (NL);https://www.youtube.com/watch?v=M4aCrpRUjdQ;M4aCrpRUjdQ;;8;31-12-2020
Tussie Mussie (NL);https://www.youtube.com/watch?v=5VEBTn1E6Uk;5VEBTn1E6Uk;;7;31-12-2020
5211 (NL);https://www.youtube.com/watch?v=9uvMwlRGVv8;9uvMwlRGVv8;;2;30-12-2020
Kami (NL);https://www.youtube.com/watch?v=A7p9TA_xv3E;A7p9TA_xv3E;;7;29-12-2020
A Tale of Pirates (NL);https://www.youtube.com/watch?v=HwcGz1TO99Y;HwcGz1TO99Y;;8;26-12-2020
De Veilingmeesters van Amsterdam (NL);https://www.youtube.com/watch?v=xnuhUv6qe6M;xnuhUv6qe6M;;7;23-12-2020
Evolution: The Video Game (NL);https://www.youtube.com/watch?v=n_-fnOcUlh8;n_-fnOcUlh8;;7;21-12-2020
Afritoria (NL);https://www.youtube.com/watch?v=g3Zkfxu51GQ;g3Zkfxu51GQ;;7;21-12-2020
Samoa (NL);https://www.youtube.com/watch?v=EsPXQvjgCq0;EsPXQvjgCq0;;8;20-12-2020
Small World of Warcraft (NL);https://www.youtube.com/watch?v=DnFMe5QwPfg;DnFMe5QwPfg;;8;20-12-2020
Paleo (NL);https://www.youtube.com/watch?v=Tz5kGuZmbIU;Tz5kGuZmbIU;;8;20-12-2020
Lose your In Laws (NL);https://www.youtube.com/watch?v=0z1KTPLLvhs;0z1KTPLLvhs;;6;19-12-2020
Lyttle Wood (NL);https://www.youtube.com/watch?v=pZuLe1fRWkE;pZuLe1fRWkE;;6;19-12-2020
Seven Swords (NL);https://www.youtube.com/watch?v=Q2GNvuxnWO4;Q2GNvuxnWO4;;7;19-12-2020
Detective: Season One (NL);https://www.youtube.com/watch?v=UQtu6I2k1Zg;UQtu6I2k1Zg;;8;19-12-2020
Forgotten Waters (NL);https://www.youtube.com/watch?v=NIAW7y_lNY0;NIAW7y_lNY0;2;4;16-12-2020
Skipp (NL);https://www.youtube.com/watch?v=AEGPxLsY5dI;AEGPxLsY5dI;;7;16-12-2020
Dale of Merchants 3 (NL);https://www.youtube.com/watch?v=GGbc605umAg;GGbc605umAg;;8;16-12-2020
Ticket to Ride Europe: 1912 (NL);https://www.youtube.com/watch?v=vPyPuJ2H7_8;vPyPuJ2H7_8;;7;13-12-2020
Throw Throw Burrito (NL);https://www.youtube.com/watch?v=B1mPFXEZfrk;B1mPFXEZfrk;;6;10-12-2020
De Schat van Kadora (NL);https://www.youtube.com/watch?v=s5k1lQvgMOo;s5k1lQvgMOo;;6;09-12-2020
Ghost Adventure (NL) - Spellenzolder Welpjes;https://www.youtube.com/watch?v=5HWiHcsLzVU;5HWiHcsLzVU;;7;09-12-2020
Alhambra: The Dice Game (NL);https://www.youtube.com/watch?v=OpsmVcwwa0w;OpsmVcwwa0w;;;09-12-2020
Chameleon (NL);https://www.youtube.com/watch?v=nMj7__SWf3E;nMj7__SWf3E;;7;06-12-2020
Graaf je Vrij / Dig your way Out (NL);https://www.youtube.com/watch?v=2-RN9eiD65E;2-RN9eiD65E;;8;05-12-2020
