,title,link,id,stars,score,date
0,Oathsworn: Into the Deepwood (NL),https://www.youtube.com/watch?v=UxF7sqCiOhY,UxF7sqCiOhY,,10.0,2022-02-11
1,Star Wars Armada: Super Star Destroyer (NL),https://www.youtube.com/watch?v=fDiCnbDd6Tg,fDiCnbDd6Tg,,10.0,2019-02-09
2,Fury of Dracula - 3rd Edition (NL),https://www.youtube.com/watch?v=Bk6-AvuEdIg,Bk6-AvuEdIg,5.0,10.0,2016-12-19
3,Magic the Gathering (NL),https://www.youtube.com/watch?v=AYu5ool4YTo,AYu5ool4YTo,5.0,10.0,2016-10-16
4,"Codenames (NL) - Vanuit spellenwinkel ""Spellenpoort""",https://www.youtube.com/watch?v=isuTVvwDt_I,isuTVvwDt_I,5.0,10.0,2015-10-12
5,Legendary Encounters: Alie (NL),https://www.youtube.com/watch?v=NmsICtnjEcg,NmsICtnjEcg,5.0,10.0,2015-09-02
6,Sherlock Holmes - Consulting Detective (NL),https://www.youtube.com/watch?v=WIZGG7wepQQ,WIZGG7wepQQ,5.0,10.0,2015-06-25
7,Mystery Express (NL),https://www.youtube.com/watch?v=Ua0RMFu-dKQ,Ua0RMFu-dKQ,,10.0,2014-12-29
8,Star Wars: The Deckbuilding Game (NL),https://www.youtube.com/watch?v=u7SWZ_sqrN4,u7SWZ_sqrN4,,9.0,2023-11-03
9,Doodle Dash (NL),https://www.youtube.com/watch?v=Uw8yd3UIrVE,Uw8yd3UIrVE,,9.0,2023-03-29
10,Clank! Catacombs (NL),https://www.youtube.com/watch?v=BDixzoKFmgY,BDixzoKFmgY,,9.0,2023-02-18
11,Caesar! - Seize Rome in 20 Minutes! (NL),https://www.youtube.com/watch?v=nW5nTQxznQI,nW5nTQxznQI,,9.0,2022-12-21
12,Superkrachten voor je Hoofd: De Game (NL) - Spellenzolder Welpjes,https://www.youtube.com/watch?v=hmtGlR5Td2M,hmtGlR5Td2M,,9.0,2022-12-14
13,Sobek - 2 Spelers (NL),https://www.youtube.com/watch?v=h1EeXcjOYcA,h1EeXcjOYcA,,9.0,2022-10-04
14,Wonder Woods (NL),https://www.youtube.com/watch?v=pFV7D14o24g,pFV7D14o24g,,9.0,2022-08-28
15,De Genomineerden voor De Nederlandse Spellenprijs 2022,https://www.youtube.com/watch?v=1Nwjr5gyzJU,1Nwjr5gyzJU,,9.0,2022-07-09
16,Raccoon Tycoon (NL),https://www.youtube.com/watch?v=PS2RmdxWRZ0,PS2RmdxWRZ0,,9.0,2022-05-15
17,"Air, Land, and Sea: Critters at War (NL)",https://www.youtube.com/watch?v=-cKIBDOGsBc,-cKIBDOGsBc,,9.0,2022-04-27
18,Agropolis (NL),https://www.youtube.com/watch?v=G5pkUI-mx7I,G5pkUI-mx7I,,9.0,2022-03-20
19,De Avonturen van Robin Hood (NL),https://www.youtube.com/watch?v=QE2YjlYXtIg,QE2YjlYXtIg,,9.0,2022-02-14
20,Euthia: Torment of Resurrection (NL),https://www.youtube.com/watch?v=etH0SXAbP0M,etH0SXAbP0M,,9.0,2022-02-13
21,Deception: Murder in Hong Kong (NL),https://www.youtube.com/watch?v=Vqhelxv0N_o,Vqhelxv0N_o,,9.0,2022-01-26
22,Vienna Connection (NL),https://www.youtube.com/watch?v=trxwb2Ny0Uo,trxwb2Ny0Uo,,9.0,2022-01-23
23,Destinies (NL),https://www.youtube.com/watch?v=l4Qc54gQp_4,l4Qc54gQp_4,,9.0,2021-12-26
24,Architecten van het Westelijk Koninkrijk: Ambachtslieden (NL),https://www.youtube.com/watch?v=1v8WzEMXtIc,1v8WzEMXtIc,,9.0,2021-11-14
25,Forbidden Stars (NL),https://www.youtube.com/watch?v=7fpXVMFQZHM,7fpXVMFQZHM,,9.0,2021-10-11
26,Anachrony (NL),https://www.youtube.com/watch?v=wWjA9Fa_heI,wWjA9Fa_heI,,9.0,2021-06-23
27,Oriflamme: Oproer (NL),https://www.youtube.com/watch?v=gyzT4bmMChc,gyzT4bmMChc,,9.0,2021-05-12
28,Detective: City of Angels (NL),https://www.youtube.com/watch?v=_yjdX9Bqnnc,_yjdX9Bqnnc,,9.0,2021-04-21
29,Unmatched: Jurassic Park (NL),https://www.youtube.com/watch?v=yICVrocy99I,yICVrocy99I,,9.0,2021-04-14
30,5-Minute Mystery (NL),https://www.youtube.com/watch?v=XyDy0reI9LI,XyDy0reI9LI,,9.0,2020-09-23
